fiyat,il,ilce,emlak_tipi,m2_brut,m2_net,oda,bina_yasi,bulundugu_kat,kat_sayisi,isitma,banyo,balkon,esyali,kullanim_durumu,site_icerisinde,krediye_uygun,kimden,takas,salon,banyo/oda
319000,istanbul,beylikdüzü,daire,120,112,2,3,15,18,merkezi,2,yok,hayır,boş,evet,evet,emlak ofisinden,hayır,1,1.0
163000,istanbul,esenyurt,daire,115,100,2,7,1,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.5
273000,istanbul,başakşehir,daire,80,70,2,2,yüksek giriş,4,doğalgaz,1,yok,hayır,boş,hayır,evet,emlak ofisinden,hayır,1,0.5
299000,istanbul,esenyurt,daire,110,90,2,4,4,4,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.5
469000,istanbul,beylikdüzü,daire,125,115,2,2,1,5,doğalgaz,2,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,1.0
835000,istanbul,beylikdüzü,daire,170,150,3,0,3,4,doğalgaz,2,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.6666666666666666
329000,istanbul,esenyurt,daire,120,100,2,1,1,4,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,0.5
515000,istanbul,beylikdüzü,daire,215,165,4,7,4,4,doğalgaz,2,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
149000,istanbul,beylikdüzü,daire,128,109,2,0,8,23,merkezi,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,1.0
282500,istanbul,çekmeköy,daire,95,90,2,0,2,6,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
299900,istanbul,beylikdüzü,daire,123,115,2,0,3,10,doğalgaz,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,1.0
249000,istanbul,beylikdüzü,daire,105,100,2,0,4,5,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
133000,istanbul,beylikdüzü,daire,110,100,2,0,kot 1,4,doğalgaz,1,yok,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
460000,istanbul,beylikdüzü,daire,125,115,2,0,1,7,doğalgaz,1,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.5
205000,istanbul,beylikdüzü,daire,120,110,2,0,6,9,doğalgaz,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,1.0
305000,istanbul,maltepe,daire,85,80,2,2,2,5,doğalgaz,1,yok,hayır,mülk sahibi,hayır,evet,emlak ofisinden,hayır,1,0.5
328500,istanbul,beylikdüzü,daire,125,110,3,13,7,7,doğalgaz,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.6666666666666666
348000,istanbul,avcılar,daire,110,100,2,0,3,12,doğalgaz,1,var,hayır,boş,evet,evet,emlak ofisinden,evet,1,0.5
369000,istanbul,beylikdüzü,daire,120,105,2,0,2,3,doğalgaz,1,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.5
679000,istanbul,beylikdüzü,daire,145,135,3,0,1,4,doğalgaz,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.6666666666666666
287000,istanbul,beylikdüzü,daire,115,100,2,0,2,4,doğalgaz,1,var,hayır,boş,evet,evet,emlak ofisinden,evet,1,0.5
179000,istanbul,beylikdüzü,daire,110,95,2,2,kot 1,4,doğalgaz,1,var,hayır,boş,evet,evet,inşaat firmasından,hayır,1,0.5
264000,istanbul,çekmeköy,daire,115,100,3,18,2,2,doğalgaz,1,var,hayır,boş,hayır,evet,emlak ofisinden,evet,1,0.3333333333333333
188000,istanbul,avcılar,daire,90,80,2,1,4,6,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
755000,istanbul,çekmeköy,daire,78,45,1,0,2,4,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,hayır,1,1.0
569000,istanbul,beylikdüzü,daire,120,110,2,0,1,3,doğalgaz,1,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.5
138000,istanbul,başakşehir,daire,95,80,2,0,yüksek giriş,5,doğalgaz,1,yok,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
127000,istanbul,beylikdüzü,daire,145,135,3,2,bahçe katı,6,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.3333333333333333
199000,istanbul,beylikdüzü,daire,120,110,2,0,7,15,doğalgaz,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,1.0
719000,istanbul,beylikdüzü,daire,145,130,3,0,1,4,doğalgaz,2,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.6666666666666666
233000,istanbul,esenyurt,daire,125,115,2,0,3,5,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.5
610000,istanbul,üsküdar,daire,90,75,2,7,1,3,doğalgaz,1,var,hayır,kiracılı,hayır,evet,emlak ofisinden,hayır,1,0.5
610000,istanbul,üsküdar,daire,90,75,2,7,1,3,doğalgaz,1,var,hayır,kiracılı,hayır,evet,emlak ofisinden,hayır,1,0.5
417500,istanbul,beylikdüzü,daire,120,105,2,0,3,6,doğalgaz,1,var,hayır,boş,evet,evet,inşaat firmasından,evet,1,0.5
289000,istanbul,beylikdüzü,daire,130,125,3,2,2,5,doğalgaz,1,var,hayır,boş,hayır,evet,inşaat firmasından,evet,1,0.3333333333333333
