fiyat,il,ilce,ilan_tarihi,emlak_tipi,m²_(brüt),m²_(net),oda_sayısı,bina_yaşı,bulunduğu_kat,kat_sayısı,isıtma,banyo_sayısı,balkon,eşyalı,kullanım_durumu,site_içerisinde,aidat_(tl),krediye_uygun,kimden,görüntülü_arama_ile_gezilebilir,takas
319000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  120,  112,  2+1,  3,  15,  18,  merkezi (pay ölçer),  2,  yok,  hayır,  boş,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  hayır 
163000,istanbul , esenyurt ,  20 ocak 2021,  satılık daire ,  115,  100,  2+1,  5-10 arası,  1,  4,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  15,  evet,  emlak ofisinden,  evet,  evet 
273000,istanbul , başakşehir ,  20 ocak 2021,  satılık daire ,  80,  70,  2+1,  2,  yüksek giriş,  4,  doğalgaz (kombi),  1,  yok,  hayır,  boş,  hayır,  20,  evet,  emlak ofisinden,  evet,  hayır 
299000,istanbul , esenyurt ,  20 ocak 2021,  satılık daire ,  110,  90,  2+1,  4,  4,  4,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  25,  evet,  emlak ofisinden,  hayır,  evet 
469000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  125,  115,  2+1,  2,  1,  5,  doğalgaz (kombi),  2,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  inşaat firmasından,  evet,  evet 
835000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  170,  150,  3+1,  0,  3,  4,  doğalgaz (kombi),  2,  var,  hayır,  boş,  350,  marmara konakları,  evet,  inşaat firmasından,  evet,  evet 
329000,istanbul , esenyurt ,  20 ocak 2021,  satılık daire ,  120,  100,  2+1,  1,  1,  4,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  inşaat firmasından,  hayır,  hayır 
515000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  215,  165,  4+1,  5-10 arası,  4,  4,  doğalgaz (kombi),  2,  var,  hayır,  boş,  hayır,  50,  evet,  inşaat firmasından,  evet,  evet 
149000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  128,  109,  2+1,  0,  8,  23,  merkezi (pay ölçer),  2,  var,  hayır,  boş,  evet,  120,  evet,  inşaat firmasından,  hayır,  evet 
1130000,istanbul , maltepe ,  20 ocak 2021,  satılık daire ,  140,  130,  3+1,  0,  kot 3,  10,  merkezi (pay ölçer),  2,  var,  hayır,  boş,  hayır,  150,  evet,  inşaat firmasından,  hayır,  hayır 
282500,istanbul , çekmeköy ,  20 ocak 2021,  satılık daire ,  95,  90,  2+1,  0,  2,  6,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  50,  evet,  inşaat firmasından,  evet,  evet 
299900,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  123,  115,  2+1,  0,  3,  10,  doğalgaz (kombi),  2,  var,  hayır,  boş,  evet,  70,  evet,  inşaat firmasından,  evet,  evet 
249000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  105,  100,  2+1,  0,  4,  5,  doğalgaz (kombi),  1,  var,  hayır,  boş,  hayır,  belirtilmemiş,  evet,  inşaat firmasından,  hayır,  evet 
133000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  110,  100,  2+1,  0,  kot 1,  4,  doğalgaz (kombi),  1,  yok,  hayır,  boş,  hayır,  15,  evet,  inşaat firmasından,  evet,  evet 
460000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  125,  115,  2+1,  0,  1,  7,  doğalgaz (kombi),  1,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  inşaat firmasından,  hayır,  evet 
205000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  120,  110,  2+1,  0,  6,  9,  doğalgaz (kombi),  2,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  inşaat firmasından,  evet,  evet 
305000,istanbul , maltepe ,  20 ocak 2021,  satılık daire ,  85,  80,  2+1,  2,  2,  5,  doğalgaz (kombi),  1,  yok,  hayır,  mülk sahibi,  hayır,  50,  evet,  emlak ofisinden,  hayır,  hayır 
328500,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  125,  110,  3+1,  11-15 arası,  7,  7,  doğalgaz (kombi),  2,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  inşaat firmasından,  evet,  evet 
348000,istanbul , avcılar ,  20 ocak 2021,  satılık daire ,  110,  100,  2+1,  0,  3,  12,  doğalgaz (kombi),  1,  var,  hayır,  boş,  evet,  200,  evet,  emlak ofisinden,  evet,  evet 
369000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  120,  105,  2+1,  0,  2,  3,  doğalgaz (kombi),  1,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  inşaat firmasından,  hayır,  evet 
679000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  145,  135,  3+1,  0,  1,  4,  doğalgaz (kombi),  2,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  inşaat firmasından,  hayır,  evet 
287000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  115,  100,  2+1,  0,  2,  4,  doğalgaz (kombi),  1,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  emlak ofisinden,  hayır,  evet 
179000,istanbul , beylikdüzü ,  20 ocak 2021,  satılık daire ,  110,  95,  2+1,  2,  kot 1,  4,  doğalgaz (kombi),  1,  var,  hayır,  boş,  evet,  belirtilmemiş,  evet,  inşaat firmasından,  hayır,  hayır 
